U+E33E	䕭	荨|蕁|
U+E341	䤌	|
U+E342	㡑	缲|
U+E344	䀉	|
U+E345	㥦	惬|愜|
U+E346	𥎊	矜|
U+E348	㯳	檠|
U+E349	䔛	苘|檾|
U+E34A	䯧	庼|
U+E34B	䲡	鳅|
U+E350	𣰋	氍|
U+E352	䒣	苒|
U+E355	𣰇	|氄|
U+E359	𧄜	橤|繠|
U+E35C	㩙	揌|
U+E360	䦂	钐|鐥|
U+E361	𤳈	墒|
U+E368	𣟴	闩|
U+E36D	**	巳|
U+E36F	㞞	|
U+E371	㩳	|
U+E377	㒓	|
U+E379	𦪙	|
U+E37A	㘆	呔|奤|
U+E37B	䠀	蹚|
U+E385	𤱝	疃|
U+E387	㷟	煺||
U+E388	𤍐	煺||
U+E389	𠈁	侂||仛
U+E38C	𣟄	柝|
U+E38F	𨂿	崴|
U+E39B	㵲	|潕|
U+E39C	𤵐	痦|
U+E39E	㠄	嶍|
U+E3A5	𣭡	毨|
U+E3AC	㩋	||
U+E3AD	𢸳	||
U+E3B3	㨘	擤|
U+E3B9	䃠	碹|
U+E3BE	䝟	猰|
U+E3CC	**	苅|
U+E3D4	䧡	墉|
U+E3DC	𠷿	咋|
U+E3E0	𠭯	揸|摣|
U+E3E3	䄍	蜡|
U+E3EA	䑲	棹|櫂|
U+E3EF	㡠	|
U+E3F1	𤴡	疐|
U+E3F6	㥮	|
U+E3F8	㑳	|
U+E3F9	䠱	躅|
U+E3FE	䉵	籑|
U+E40B	剏	创|創||剙
U+E415	㙡	|
U+E419	㳂	沿|
U+E41C	𩞁	馍|饝|
U+E420	㘱	坍|
U+E421	𢶀	拽|
U+E427	𡽗	|
U+E430	斁	|
U+E43F	𦪽	|
U+E441	觴	觞|
U+E446	䰖	纂|
U+E44D	燀	|
U+E450	㼆	|
U+E455	𣇇	疍|
U+E47F	廐	厩||廄
U+E481	**	炭|
U+E118	₁	了
U+E119	₂	了
U+E11A	₃	膦
U+E11E	⚋	八卦
U+E11F	(量)	安瓿
U+E120	土	提土旁
U+E121	㇀	剔
U+E122	𝄐	延长
U+E123	�	竹字头
